fiorotto8/gasmonitoring,HEP
fiorotto8/GASMON_P5,HEP
fraivone/EfficiencyAnalyzer,HEP
gabrielmscampos/pyhepframework,HEP
Gali4ka/Coffea,HEP
ggvanseev/AliceJetAI,HEP
GhadahAlharbi/Atlas_analysis,HEP
giorgiopizz/gen_studies,HEP
gordonwatts/layered-edm,HEP
gordonwatts/xaod_usage,HEP
gregoryfdel/Root-Convert,HEP
gsaha009/ProduceCmsdbCampaign,HEP
GuillermoFidalgo/UPRM-intro-to-python,HEP
guitargeek/geeksw,HEP
HenryDayHall/jetTools,HEP
HenryDayHall/spectraljet,HEP
hepaccelerate/hepaccelerate,HEP
hepdataframe/hepdataframe,HEP
HEP-KBFI/ml-tau-en-reg,HEP
HEP-KBFI/ml-tau-reco,HEP
High-Energy-Physics-Institute/KM3Former,HEP
hqucms/ParticleNet,HEP
hqucms/weaver-core,HEP
hsf-training/hsf_matplotlib_notebooks,HEP
hsf-training/hsf-training-scikit-hep-webpage,HEP
iasonkrom/egamma-tnp,HEP
ikrommyd/egamma-tnp,HEP
imdinu/diquark-analysis,HEP
iris-hep/analysis-grand-challenge,HEP
iris-hep/func_adl_uproot,HEP
iris-hep/idap-200gbps-atlas,HEP
IshaqBRST/ATLAS_Analysis,HEP
jacanchaplais/graphicle,HEP
jaimenorman/JETSCAPE-analysis,HEP
jansam123/JIDENN,HEP
jdbrice/rootext,HEP
jdmulligan/JETSCAPE-analysis,HEP
jet-net/JetNet,HEP
jkguiang/vbs,HEP
jnzhao3/Mu2e-Track-Analysis,HEP
Joel-Oscar-Mills/Cloud-Computing-Assessment,HEP
johnalison/unsupervised4b,HEP
joseph-crowley/coffea,HEP
josephzhang0701/acts_v30,HEP
jpata/particleflow,HEP
jpivarski-talks/2021-02-03-pyhep-numba-tutorial,HEP
jpivarski-talks/2021-09-13-star-uproot-awkward-tutorial,HEP
jpivarski-talks/2022-09-12-pyhep22-awkward-combinatorics,HEP
jreyesv063/w_prime_plus_b_hadronic_channel,HEP
jsdancu/icenet,HEP
juniperfdel/Root-Convert,HEP
justinjmueller/icarus_numu_ml_selection,HEP
KayVeeZ/HZZ_Docker,HEP
kon-218/ATLAS-cloud-processing,HEP
kratsg/awkward-arrow-cmake-pybind11,HEP
kratsg/coffea-delphes,HEP
krilangs/ComPhys---Master,HEP
kyungeonchoi/ServiceX_PyROOT_transformer,HEP
LBJ-Wade/coffea,HEP
LBLmu2e/KKTrain,HEP
ldk111/FASER-2-MPhys-Project-ACTS,HEP
leonrenn/SATACO,HEP
lgray/dazsle-hbb-recipes,HEP
LHCb-Cincinnati/LHE2ROOT,HEP
LHCb-Cincinnati/WWProduction,HEP
LLR-ILD/cosmics,HEP
lnoehte/test_uproot_awkward_with_nanoAOD,HEP
lobis/geant4-python-application,HEP
LPC-HH/HH4b,HEP
ludomori99/Darkphotons_Run3,HEP
maplexgitx0302/QCGNN,HEP
maplexgitx0302/QML-CMSSW_2015MiniAOD,HEP
maplexgitx0302/QML-QCGNN,HEP
MarcoValente/hh4b_intro,HEP
MarcoValente/whizard-pythia-delphes,HEP
marromlam/phis-scq2,HEP
masonproffitt/uproot_tree_utils,HEP
mattbellis/hepfile,HEP
MatthewDKnight/L1EGRates,HEP
matthewfeickert/pyhep-notebook-talk-example,HEP
mattiasoldani/succolib,HEP
mbileska/wombattest,HEP
mfmceneaney/c12gl,HEP
mfmceneaney/hipopy,HEP
mfmceneaney/Lambda-GNNs,HEP
michael24peters/pv-finder_project,HEP
mieskolainen/icenet,HEP
Ming-Yan/ttbar_coffea,HEP
mmarchegiani/ttHbb_SPANet,HEP
MoAly98/Pythium,HEP
Moelf/mapyde,HEP
Moelf/UnROOT_RDataFrame_MiniBenchmark,HEP
Mphaka-Mankgele/Data_Science_in_High_Energy_Physics,HEP
munozariasjm/vandy-ml-tagger,HEP
nantes-m2-rps-exp/qqbar2mumu-2022,HEP
neko-0/pyssrl,HEP
nhartman94/np-tutorial,HEP
nikoladze/physlite_experiments,HEP
nkanima/root_exporter,HEP
nobrainmonkey/eic-project,HEP
NTUHEP-QML/QCGNN,HEP
nVentis/MEM_HEP,HEP
open-physics/high-energy-physics,HEP
open-physics/jet-physics-and-machine-learning,HEP
oshadura/2023-07-24-coffea-casa,HEP
oshadura/coffea-bench,HEP
oXyut/particlenet-toptagging,HEP
panda-luminosity-detector-group/LMD-Alignment,HEP
parnassus-hep/cms-flow,HEP
PeterMJacobs/JETSCAPE-analysis,HEP
phinate/redoing-neos,HEP
pnnoc/IRIS_HEP_AGC,HEP
pnnoc/r3k,HEP
PocketCoffea/PocketCoffea,HEP
Princeton-AD/cicada,HEP
Princeton-AD/wombat,HEP
pviscone/root2torch,HEP
pviscone/Vcb_ditopDecay,HEP
qbuat/taunet,HEP
r08222011/QML_CMSSW_2015MiniAOD,HEP
rachsmith1/NDIVE,HEP
raggleton/UHH2-integration,HEP
raymondEhlers/JETSCAPE-analysis,HEP
raymondEhlers/pybind11-awkward-array-test,HEP
raymondEhlers/pyfastjet,HEP
RedOffset6/distributed_hzz,HEP
rjones30/gluex_moments_analysis,HEP
rkansal47/HHbbVV,HEP
rkansal47/JetNet-Old,HEP
Robsution/CICADASectioned,HEP
rodralva/HNL_lan_ana_macros,HEP
roy-cruz/PURSUE-scikithep,HEP
RUB-EP1/pawian-tools,HEP
ruelasvh/hh,HEP
ruelasvh/plot-hh4b-analysis,HEP
Saransh-cpp/PyHEP22-Constructing-HEP-vectors-and-analyzing-HEP-data-using-Vector,HEP
SBNSoftware/sbncode,HEP
scipp-atlas/mapyde,HEP
shane-breeze/zinv-analysis,HEP
shedprog/ParticleNet-LLSTau,HEP
SijunXu/EventImage,HEP
Skagamaster/Python_Pico_Reader,HEP
Snowmass21-software/analysis-example-python,HEP
soleti/DeePID,HEP
soleti/ml_tutorial,HEP
sophiemiddleton/SourceFitting,HEP
SridharaDasu/MuColCalHits,HEP
SridharaDasu/UprootPyPlot,HEP
ssl-hep/ServiceX_analyzer,HEP
ssl-hep/ServiceX_datastream,HEP
ssl-hep/ServiceX_frontend,HEP
ssl-hep/ServiceX,HEP
ssl-hep/ServiceX_transformer,HEP
ssl-hep/ServiceX_Uproot_Transformer,HEP
Star9daisy/hep-ml-lab,HEP
talnoam/DGCNN-,HEP
Tashif-Bashir/ACTSDEMO,HEP
tcuisset/HgcalClue3DClusteringPlotting,HEP
tlprotzman/Python_Pico_Reader,HEP
tomeichlersmith/uplcio,HEP
tzuhanchang/Pythium,HEP
uc-lhcb/pv-finder,HEP
UHH2/JetMass,HEP
uhh-pd-ml/beyond_kinematics,HEP
UMDCMS/ControlUI,HEP
UMDCMS/sipmanalyze,HEP
UMN-CMS/SingleStopCoffea,HEP
UMN-CMS/WrCoffea,HEP
uniovi-hepex/emeleTrigger,HEP
usarica/FNAL-QCDecodingTests,HEP
usatlas/analysis_tests,HEP
uttiyasarkar/root2py,HEP
valsdav/MEMFlow,HEP
vincent254-hub/Data-Analysis_Assignment,HEP
ViniciusMikuni/OmniLearn,HEP
Vioolette/internship_L2_cern,HEP
Vvvvvvvictor/HiggsDNA,HEP
Vvvvvvvictor/HiggsZGammaAna,HEP
webithug/OmniLearn_web,HEP
WilliamHirst/MasterThesis,HEP
WilliamKorcari/fgsim,HEP
wouterwln/NeuralFactorTrees,HEP
woywoy123/AnalysisG,HEP
yimuchen/gui_example,HEP
yimuchen/SiPMCalibControl,HEP
YonsiG/XtoYH_pNN_ggbb,HEP
yszhang95/PIAnalysis,HEP
yuliia-maidannyk/tth_labbook,HEP
Yusuf-Manjra/acts-tutorial,HEP
zebingwang/HiggsZGammaAna,HEP
